municipio,ano_mes,casos_sg,media_resultado_ciano
AFOGADOS DA INGAZEIRA,2024-07,1,947.1153846153846
AFOGADOS DA INGAZEIRA,2024-08,4,357.41346153846155
AFOGADOS DA INGAZEIRA,2024-10,2,132.75
AFOGADOS DA INGAZEIRA,2024-11,2,0.0
BEZERROS,2024-03,4,5336.5
BEZERROS,2024-04,1,1790.5830232558142
BEZERROS,2024-06,1,5792.861126760564
BEZERROS,2024-07,3,4799.285714285715
BEZERROS,2024-09,1,5894.2
CARUARU,2022-02,1,4602.018333333333
CARUARU,2024-01,1,120.47826086956522
CARUARU,2024-02,7,916.3211538461538
CARUARU,2024-03,8,1930.0052857142857
CARUARU,2024-04,3,1309.2953164556961
CARUARU,2024-05,1,7476.599473684211
CARUARU,2024-06,3,19965.725000000002
CARUARU,2024-07,2,6691.173787878787
CARUARU,2024-08,3,2657.6964285714284
CARUARU,2024-09,3,6700.413793103448
CARUARU,2024-10,1,932.7173913043479
CARUARU,2024-11,2,2593.3333333333335
FEIRA DE SANTANA,2024-01,7,0.05666666666666667
FEIRA DE SANTANA,2024-02,21,0.05666666666666667
FEIRA DE SANTANA,2024-03,19,0.05666666666666667
FEIRA DE SANTANA,2024-04,11,0.05666666666666667
FEIRA DE SANTANA,2024-05,9,0.05666666666666667
FEIRA DE SANTANA,2024-06,6,0.05666666666666667
FEIRA DE SANTANA,2024-07,2,0.07500000000000001
GARANHUNS,2022-03,1,112508.47285714287
GARANHUNS,2022-06,1,90933.75857142858
GARANHUNS,2024-01,3,75407.53874999999
GARANHUNS,2024-02,6,200459.81222222222
GARANHUNS,2024-03,4,102057.12916666667
GARANHUNS,2024-04,3,581091.0599999999
GARANHUNS,2024-05,5,587772.7166666667
GARANHUNS,2024-06,1,293294.5625
GARANHUNS,2024-07,1,284317.3
GARANHUNS,2024-08,3,927929.5
GARANHUNS,2024-09,5,1333960.3333333333
GARANHUNS,2024-10,4,1752271.0
GARANHUNS,2024-11,6,15684600.5
GOIANA,2024-03,1,0.051666666666666666
GOVERNADOR VALADARES,2024-07,1,38.9344262295082
GOVERNADOR VALADARES,2024-08,2,160.9
GOVERNADOR VALADARES,2024-09,4,3.443298969072165
GOVERNADOR VALADARES,2024-10,2,0.0
GOVERNADOR VALADARES,2024-11,3,7.135416666666667
GOVERNADOR VALADARES,2024-12,1,46.0
GUANAMBI,2022-01,1,0.05666666666666667
GUANAMBI,2023-10,1,0.05666666666666667
GUANAMBI,2024-02,9,1.6666666666666667
GUANAMBI,2024-03,3,0.05666666666666667
GUANAMBI,2024-04,7,1.6666666666666667
GUANAMBI,2024-05,3,1.6666666666666667
GUANAMBI,2024-06,5,1.6666666666666667
ITABUNA,2023-03,2,0.05666666666666667
ITAPETINGA,2024-01,1,0.05666666666666667
ITAPETINGA,2024-10,2,0.05666666666666667
ITAPETINGA,2024-11,5,0.05666666666666667
ITAPETINGA,2024-12,1,0.05666666666666667
JACOBINA,2024-02,4,0.08666666666666667
JUAZEIRO,2021-08,1,0.07333333333333333
JUAZEIRO,2023-03,8,0.05666666666666667
JUAZEIRO,2023-05,1,0.37366666666666665
JUAZEIRO,2023-06,2,0.05666666666666667
JUAZEIRO,2023-07,1,0.05666666666666667
JUAZEIRO,2023-09,1,0.05666666666666667
JUAZEIRO,2024-03,5,0.05666666666666667
LAGOA GRANDE,2024-02,3,326.7692307692308
LAGOA GRANDE,2024-03,2,43.40384615384615
LAGOA GRANDE,2024-04,1,0.0
LINHARES,2024-01,1,198.0
LINHARES,2024-02,5,58600.0
LINHARES,2024-03,4,1920.0
LINHARES,2024-04,1,7960.0
LINHARES,2024-09,2,0.0
MACHACALIS,2023-02,1,100.0
MACHACALIS,2024-03,2,100.0
MACHACALIS,2024-05,1,100.0
MARIANA,2024-09,4,2.1052631578947367
PETROLINA,2022-06,1,0.056999999999999995
PETROLINA,2024-02,9,0.0
PETROLINA,2024-03,18,57.67213114754098
PETROLINA,2024-04,5,0.0
PETROLINA,2024-05,7,47.427350427350426
PETROLINA,2024-06,3,0.0
PETROLINA,2024-08,8,32.33974358974359
PETROLINA,2024-10,3,17.653846153846153
PETROLINA,2024-11,5,0.0
PORTO SEGURO,2023-03,1,0.3566666666666667
PORTO SEGURO,2023-08,1,0.05666666666666667
PORTO SEGURO,2024-01,2,0.05666666666666667
PORTO SEGURO,2024-03,17,1.6666666666666667
PORTO SEGURO,2024-04,6,1.6666666666666667
SALGUEIRO,2023-12,1,0.0
SALGUEIRO,2024-03,1,0.0
SALVADOR,2020-07,1,0.0005803921568627451
SALVADOR,2020-11,1,0.1875
SALVADOR,2021-01,2,0.0892018779342723
SALVADOR,2021-02,3,0.11737089201877934
SALVADOR,2021-03,1,0.5164319248826291
SALVADOR,2021-04,1,2.3149342723004698
SALVADOR,2021-07,1,0.13615023474178403
SALVADOR,2021-08,2,1.2142857142857142
SALVADOR,2021-11,1,0.13964285714285715
SALVADOR,2021-12,1,0.009380952380952382
SALVADOR,2022-02,1,0.0006666666666666666
SALVADOR,2022-06,1,0.0012857142857142856
SALVADOR,2022-07,3,0.004435897435897436
SALVADOR,2022-12,2,0.0
SALVADOR,2023-11,9,0.0
SALVADOR,2023-12,4,0.009348717948717949
SALVADOR,2024-02,82,0.002564102564102564
SALVADOR,2024-03,69,0.0012051282051282052
SALVADOR,2024-04,62,0.009523809523809525
SALVADOR,2024-05,27,0.0004761904761904762
SALVADOR,2024-06,23,0.022222222222222223
SALVADOR,2024-07,27,0.0
SALVADOR,2024-08,46,0.0
SALVADOR,2024-10,39,0.006904761904761906
SALVADOR,2024-11,30,0.0005128205128205128
SALVADOR,2024-12,28,0.0
SANTA MARIA DA BOA VISTA,2024-02,1,0.0
SANTA MARIA DA BOA VISTA,2024-04,3,59.0
SERRA TALHADA,2024-01,2,28787.5
SERRA TALHADA,2024-02,4,83591.195
SERRA TALHADA,2024-03,7,88278.7975
SERRA TALHADA,2024-04,2,59805.2
SERRA TALHADA,2024-05,1,205098.5
SERRA TALHADA,2024-07,3,108255.9
SERRA TALHADA,2024-08,3,64283.142857142855
SERRA TALHADA,2024-09,3,69739.85714285714
SERRA TALHADA,2024-10,2,130980.16666666667
SERRA TALHADA,2024-11,1,151142.0
SERRA TALHADA,2024-12,1,424055.8
SOORETAMA,2024-02,1,703.0
TEIXEIRA DE FREITAS,2023-03,1,0.05666666666666667
TEIXEIRA DE FREITAS,2023-05,1,0.05666666666666667
TERRA NOVA,2024-03,2,18704.655
